layer,sae_index,graph_count,occurrence_count,avg_influence,avg_activation,neuronpedia_label,label_fetch_error,semantic_category,annotator
10,6033,5,9,0.698328,15.271079," references to popular culture, food preparation, disease, immunity, and politics",,,
5,7191,5,9,0.6926,11.455099, words and phrases related to legal proceedings or agreements,,,
1,1321,5,9,0.688712,9.449826," the word ""is""",,,
4,14857,5,22,0.688346,13.98597,code snippets and license agreements,,,
5,6473,5,10,0.68799,8.162798," a mix of computer programming terms, words describing bad health outcomes, and words quantifying degree",,,
6,10428,5,6,0.68766,9.510391, references to animals or young humans,,,
0,12200,5,11,0.686597,3.980263, a variety of specific nouns,,,
14,11455,5,7,0.683946,28.934161, phrases performing comparisons.,,,
11,15947,5,10,0.680067,14.537845, references to historical or social change.,,,
13,10969,5,11,0.675028,15.247173,comparisons between disciplines and relationships between concepts.,,,
1,39,5,5,0.674141,4.256696," conjunctions and discourse markers occurring at the beginning of clauses in German and English, including both contrasting and additive words",,,
3,3205,5,20,0.674058,13.511326," code snippets and documentation references, possibly related to web development",,,
5,13874,5,5,0.673886,5.152406,"phrases using ""like"", ""similar to"", ""case of"", or comparisons",,,
6,12605,5,10,0.673739,9.838267," a variety of seemingly unrelated words, including acronyms, medical terms, software, and minerals.",,,
0,2608,5,5,0.673692,3.94212," the character sequence ""ub""",,,
2,9088,5,5,0.673431,3.031545," things which are believed, demonstrated, or thought to be true",,,
2,8364,5,5,0.673409,3.208867," instances of passive voice such as ""is thought to be""",,,
0,12747,5,11,0.673315,3.59437,"occurrences of the words 'they', 'them', 'that', 'these', or something that can be replaced with 'they' or 'them'",,,
9,13344,5,14,0.671062,13.850056, phrases suggesting uncertainty or comparison between two things,,,
9,2909,5,8,0.668425,13.730421," formulas, ratios, and mathematical notation",,,
5,6109,5,5,0.666651,7.170269, terms related to scientific or academic concepts,,,
2,1154,5,8,0.666159,5.050591," paragraphs that include the word ""that"" or derivatives of the word ""form"", and sometimes words relating to legal or scientific claims.",,,
3,12615,5,5,0.665779,5.104949," the term ""ischemic"" and related terms describing vascular incidents",,,
5,13039,5,6,0.664876,9.631059, words and phrases that suggest a comparison or an analogy is being made or a summary of something is being presented.,,,
8,8823,5,5,0.664371,11.223368, the word 'from' or conjunctive phrases using commas and 'and',,,
4,1802,5,5,0.663038,9.51645," verbs inflected for the past tense, or words with the basic form changing to show number",,,
6,6732,5,8,0.660041,9.85196, phrases related to time running out or a race against time,,,
10,5559,5,5,0.657825,28.141153,"the letter ""L"" at the beginning of a token",,,
2,15420,5,8,0.657525,8.661437," the word ""is"" and words near it",,,
12,7938,5,5,0.656926,12.721792, language related to financial planning and retirement investment,,,
5,2141,5,12,0.652765,7.327073, comparisons of people or figures using well-known public figures,,,
1,6265,5,5,0.649505,2.445772," the word ""properly"" and words and phrases associated with needing permission to do something",,,
1,2493,5,8,0.646872,5.322861," the word ""to""",,,
0,4823,5,14,0.645135,6.531396," the word ""part"" followed by prepositions or words related to sections or components.",,,
13,2904,5,5,0.644863,13.477888, mathematical equations and financial terms,,,
2,7856,5,6,0.642653,3.299199," the archaic word ""unto"" and words immediately surrounding it",,,
2,1531,5,5,0.642513,3.584251,"a variety of seemingly unrelated words that end in particular letter combinations, such as ""rin,"" ""gg,"" ""zer,"" ""mar,"" ""RG,"" and also some positive and negative descriptors.",,,
0,9977,5,5,0.642157,4.951589," the word ""as"" used in various contexts",,,
3,12006,5,10,0.640009,8.487745,"words that express surprise, court rulings, directions or requirements",,,
2,11475,5,10,0.637919,5.775604," the word ""refers"" and words related to it",,,
7,6756,5,5,0.633471,16.997517," somewhat uncommon, short (4-5 letter) words",,,
0,11651,5,10,0.633396,5.503576,"the word ""to""",,,
0,6274,5,5,0.62907,3.448511," references to legal proceedings and pronouncements, especially related to court decisions and legal actions",,,
9,2750,5,5,0.628765,12.325571, phrases where someone is suggesting skepticism or doubt,,,
7,749,5,7,0.62731,12.478118,analogies and comparisons,,,
0,8047,5,5,0.626809,4.116435, research documents,,,
4,10752,5,10,0.625842,11.605871,"uses of the verb ""to be"" preceded by ""to"" or ""should"" or followed by a past tense verb",,,
0,1448,5,5,0.62569,4.574785," the verb ""is"" and ""are"".",,,
4,10469,5,5,0.622922,10.753911," occurrences of modal verbs, belief, putting things, or talking",,,
0,1847,5,13,0.622597,6.078559,scientific terms and experimental details related to biological and chemical research,,,
0,2115,5,11,0.621764,6.969368," data reported as a percentage inside brackets, especially in a laboratory or medical context, and also recognizes countries",,,
0,9773,5,8,0.618082,4.950436, references to dates and times,,,
0,9033,5,5,0.617334,5.442299,"the word ""as.""",,,
5,6257,5,9,0.613913,9.729148," pronouns or possessive pronouns, relative pronouns, and words associated with groups or individuals",,,
5,10251,5,5,0.611919,8.557521, words related to relationships between entities,,,
1,11356,5,10,0.608848,5.931782," the word ""to"" followed by a verb.",,,
3,3289,5,5,0.607907,5.703409, ampersands and programming-related terms,,,
6,3178,5,6,0.606991,14.44345, mentions of a company dominating the Android market,,,
4,410,5,10,0.60284,12.748059,"the word ""due"" and nearby words.",,,
3,10923,5,5,0.598663,6.902741,"the word ""as"" and surrounding words",,,
6,11805,5,5,0.595407,14.361543,"uses of ""and"" and words indicating opposition or alternatives like ""versus"" and ""or""",,,
4,2485,5,5,0.595056,11.508718," verbs relating to business transactions with a high activation on ""to""",,,
5,5793,5,11,0.587576,16.626808, analogies,,,
0,4739,5,5,0.585891,4.385902,"the word ""is""",,,
0,3756,5,5,0.585306,6.363197,"the word ""as""",,,
3,169,5,9,0.582246,10.339726," the word ""to"" followed by a verb.",,,
3,8196,5,5,0.576243,8.469805,LaTeX or other mathematical notation,,,
0,15414,5,7,0.573852,4.073164," words and phrases related to obligation, judgement, or destiny",,,
5,9672,5,12,0.571789,21.301216," the phrase ""there/they are"" or the phrase ""it is to.""",,,
8,14883,5,5,0.566828,12.704211," instances of comparison using ""like"" or ""as""",,,
0,11834,5,7,0.565233,4.451462, words related to expectations and forward-looking statements as well as words related to finding employees,,,
1,10752,5,9,0.562702,8.684966,"the word ""to""",,,
0,1903,5,5,0.561977,4.817806,"instances of sentences starting with ""The""",,,
2,8165,5,9,0.560247,7.01108, lines of code with a vertical bar and the letter 'c',,,
4,12254,5,10,0.559228,16.19839,"the word ""to"" and words directly preceding or following it",,,
0,1998,5,6,0.557129,6.412475," occurrences of the word ""seem"" or ""is"" or ""are.""",,,
25,13416,5,5,0.553959,31.450512, snippets of code in various programming languages along with related technical terms.,,,
4,4021,5,5,0.552433,9.806666," code snippets or configurations with the word ""as"".",,,
2,9848,5,10,0.536424,8.940865, parts of words,,,
15,15954,5,5,0.532804,26.034247,"instances of the word ""in"" followed or preceeded by certain words",,,
8,13766,5,21,0.528799,29.333616,analogies or comparisons,,,
24,13541,5,5,0.520455,66.696007,"a mix of numbers, measurements, specialized vocabulary, and statistics.",,,
4,8051,5,5,0.518655,6.495972, expressions indicating similarity or comparison,,,
0,7370,5,5,0.517338,9.830527," the word ""as"" in a variety of contexts",,,
5,3992,5,5,0.50218,18.981945,the start of documentation blocks in code,,,
1,10469,5,5,0.497324,11.046489,"the word ""as""",,,
0,6028,5,9,0.431805,11.436872,"the word ""to""",,,
3,10018,5,10,0.407065,20.72322,"""to be"" indicating something in the process of being determined or considered",,,
0,11375,5,10,0.387376,33.148059," the word ""is""",,,
4,9110,5,5,0.355971,19.467506," words and short phrases using ""way"" or ""what"" relative to direction or manner",,,
25,4717,5,5,0.322946,207.073071," common short words such as ""to"", ""from"", ""the"", and ""of"" occurring in close proximity to numbers or other identified keywords.",,,
24,13277,5,5,0.318051,118.980104, words related to questions and requests,,,
0,1053,5,5,0.316608,28.262611," the word ""as.""",,,
0,8444,5,10,0.292667,38.653331,"the word ""to""",,,
